rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
1681|Completed|Coping Skills and Heart Failure: Outcomes and Mechanisms||Behavioral:Copingskillstraining|Interventional||Other / NIH|Quality of Life Heart Failure Disease Biomarkers and Clinical Outcomes|190|NCT00873418|March 2009
1682|Completed|Study of Massage Therapy Within a Brain Tumor Setting||Behavioral:MassageTherapy|Interventional||Other|To assess the feasibility and acceptability of massage therapy provided to primary brain tumor patients. This assessment will integrate data about patient eligibility rates patient participation rates patient adherence rates and adverse events.;  To examine the effects of massage therapy on psychological outcomes related to stress distress anxiety and depression in this population and to explore whether psychological outcomes are associated with changes in patient reported QoL.|10|NCT00873184|September 2008
1683|Withdrawn|BTC Neuropsychological Database|||Observational||Other|Bivariate correlational analyses will be conducted to examine associations between neuropsychological depression demographic medication data tumor-related treatment  and QoL variables.;  In exploratory analyses FACT-BR scale scores will be regressed on candidate neurocognitive predictors while controlling for other potentially confounding variables using hierarchical regression analyses.|0|NCT00873132|April 2009
1684|Completed|Helping African American Prostate Cancer Survivors and Their Partners Cope With Challenges After Surgery for Prostate Cancer||Behavioral:telephone-basedintervention;  Other:educationalintervention;  Other:partner-assistedcopingskillstraining;  Other:questionnaireadministration;  Procedure:psychosocialassessmentandcare;  Procedure:quality-of-lifeassessment|Interventional||Other / NIH|Symptom distress in survivors as assessed by the Sexual Urinary and Bowel Bother subscales of the Prostate Cancer Index Composite (EPIC) (16) at baseline 2 months and 5 months;  Depressed mood in survivors and partners as assessed by the depression subscale of the Profile of Mood States-SF (POMS-SF 95) at baseline 2 months and 5 months;  Quality of life of survivors as assessed by the Physical Well-being Functional Well-being and Prostate Cancer subscales of FACT-P (127) at baseline 2 months and 5 months;  Caregiver strain in partners as assessed by the Caregiver Strain Index (CSI) at baseline 2 months and 5 months;  Self-efficacy for symptom control in survivors and partners as assessed by the Self-Efficacy for Symptom Control Inventory; EPIC; and CSI at baseline 2 months and 5 months;  Relationship functioning in survivors and partners as assessed by the Dyadic Adjustment Scale (129) and the Miller Social Intimacy Scale (130) at baseline 2 months and 5 months;  Coping skills in survivors and partners as assessed by the Coping Strategies Social Problem Solving Scale-Revised and La Trobe Communication Questionnaires at baseline 2 months and 5 months|112|NCT00869739|August 2008
1685|Completed|Efficacy Evaluation of Observation Unit Cardiac Magnetic Resonance Imaging (MRI) in Patients With Intermediate Risk Acute Chest Pain||Other:OU-CardiacMRI;  Other:OU-ConventionalCareTesting|Interventional||Other|Therapeuticefficacy:Lengthofstay;  Therapeutic efficacy: Correct cardiovascular admission decision;  Therapeutic efficacy: Non-therapeutic cardiac catheterizations;  Diagnostic thinking efficacy: change in diagnostic certainty;  Costofindexhospitalization|124|NCT00869245|March 2009
1686|Unknown&nbsp;&#8224;|Direct Tumor Injection KLH-Pulsed Dendritic Cells in Unresectable Pancreatic Cancer||Biological: KLH-pulsed autologous dendritic cell vaccine|Interventional|Phase 2|Other|OverallSurvival|35|NCT00868114|July 2006
1687|Completed|The Teachable Moment: Screening and Brief Intervention for Admitted Trauma Patients||Behavioral:QuantityFrequencyModel;  Behavioral:TargetsSubjectiveDrunkenness|Interventional|Phase 2|Other|Trauma recidivism after discharge as measured by a review of computerized ED recordsNC Trauma databasethe Forsyth County EMS registryNC EMS registry and self-reports at a 6-month telephone follow-up of alcohol-related injuries and changes in alcohol;  Patient satisfaction ratings of the BIthe response to the BI as rated by the interviewerreported citations for driving under the influence(to be obtained from the NC State Department of Motor Vehicles) and 3 surveys of trauma service staff|333|NCT00865774|January 2009
1688|Completed|Single Dose Two-Way Crossover Fasted Bioequivalence Study of Nabumetone 750 mg Tablets in Healthy Volunteers||Drug:Nabumetone750mgtabletssingledose|Interventional|Phase 1|Industry|RateandExtendofAbsorption|40|NCT00864968|February 2007
1689|Completed|Single Dose Two-Way Crossover Fed Bioequivalence Study of Nabumetone 750 mg Tablets in Healthy Volunteers||Drug:Nabumetone750mgtabletssingledose|Interventional|Phase 1|Industry|RateandExtendofAbsorption|30|NCT00864604|April 2007
1690|Completed|A Relative Bioavailability Study of Cetirizine HCl 10 mg Tablets Under Fasting Conditions||Drug: Cetirizine Hydrochloride 10 mg tablets single dose;  Drug:Zyrtec&#174;10mgtabletssingledose|Interventional|Phase 1|Industry|RateandExtendofAbsorption|26|NCT00864279|August 2006
1691|Completed|A Relative Bioavailability Study of Cetirizine HCl 10 mg Tablets Under Non-fasting Conditions||Drug: Cetirizine Hydrochloride 10 mg tablets single dose;  Drug:Zyrtec&#174;10mgtabletssingledose|Interventional|Phase 1|Industry|RateandExtendofAbsorption|26|NCT00863902|August 2006
1692|Completed|Pilot Study for VeinoPlus to Improve Symptoms of Postthrombotic Syndrome||Device:VeinOPlus|Interventional|Phase 2|Other|Estimate the optimal electrical stimulation intensity level at which patients using the portable electrical muscle stimulator (VeinoPlus&#174;) have the largest benefit for relief of symptoms.;  Estimate whether use of the device was a &quot;clinical success&quot; as defined by the patient reporting benefit by the improvement of symptoms after having used the device plus an interest and willingness to continue using the device.;  Estimate the extent to which the portable electrical muscle stimulator (VeinoPlus) improves the quality of life and objective findings of postthrombotic syndrome.;  Compute information needed to power a future cross-over study.|12|NCT00858130|March 2009
1693|Unknown&nbsp;&#8224;|Physical Activity Program for Older Renal Transplant Candidates||Other:PhysicalActivity|Interventional||Other|The Short Physical Performance Battery SPPB) score a brief and simple bedside performance-based instrument.;  Health-relatedquality-of-lifescores;  Self-reporteddisabilityscores;  Re-hospitalization;  Inter-current illness including cardiovascular events or falls;  Endurance;  BodycompositionbybothDEXAandthighCT;  Gripstrength;  Legstrength;  ADLdisability|25|NCT00857974|July 2007
1694|Terminated|Yoga in Relieving Fatigue in Patients Undergoing Chemotherapy for Ovarian Cancer||Behavioral:Homeyogapractice;  Procedure:yogaclasses|Interventional||Other / NIH|Self-reportedfatigue;  Self-reported distress depression and sleep quality;  Pre- and post-yoga class change in symptom/distress ratings;  Yogainterventionadherence|2|NCT00856453|May 2009
1695|Completed|Hemostatic Textile to Control Bleeding at Donor Graft Sites||Device:Stasilon|Observational|Phase 4|Other|To compare the efficacy of a new hemostatic textile named Stasilon&#8482; against standard wound dressings in controlling burn patient donor graft site bleeding.|20|NCT00855569|June 2008
1696|Completed                  Has Results|Acyclovir in Preventing Herpes Simplex Virus Infection in Patients With Neutropenia||Drug:acyclovirsodium|Interventional|Phase 3|Other / NIH|Number of Participants Experiencing Incidence of Nephrotoxicity Defined as a Serum Creatinine &#8805; 2 Times the Patient&apos;s Baseline|112|NCT00855309|November 2008
1697|Completed|Study in Healthy Males to Measure Darunavir and Etravirine in Blood Seminal Fluid and Rectal Tissue||Drug:darunavir;  Drug:Ritonavir;  Drug:Etravirine|Interventional|Phase 1|Other / Industry|To generate individual pharmacokinetic parameters for darunavir ritonavir and etravirine in seminal plasma after single and multiple dosing;  To generate composite pharmacokinetic parameters for darunavir ritonavir and etravirine in rectal tissue after single and multiple dosing;  To generate matrix:blood plasma ratios of darunavir ritonavir and etravirine in semen and rectal tissue after single and multiple dosing|13|NCT00855088|July 2009
1698|Completed                  Has Results|A Study to Evaluate the Efficacy and Tolerability of Topical Therapies for the Condition of Plaque-Type Psoriasis||Drug:Olux-EFoam;  Drug:Clobexlotion|Interventional|Phase 4|Industry|At Least a One Grade Improvement for the Target Psoriasis Lesion on the Elbow or Knee (Psoriasis Grading Scale);  At Least 1 Grade Improvement Psoriasis Grading Scale;  At Least a 2 Grade Improvement Psoriasis Grading Scale;  At Least a 3 Grade Improvement Psoriasis Grading Scale;  At Least 1 Grade Improvement in the Psoriasis Global Assessment;  At Least a 2 Grade Improvement in the Psoriasis Global Assessment;  At Least a 3 Grade Improvement in the Psoriasis Global Assessment;  At Least 1 Grade Improvement in Subject&apos;s Global Assessment;  At Least a 2 Grade Improvement in Subject&apos;s Global Assessment;  At Least a 3 Grade Improvement in Subject&apos;s Global Assessment;  MedianChangeinPsoriasisGradingScale;  Dermatology Quality of Life - Symptoms and Feelings;  DermatologyQualityofLife-DailyActivities;  DermatologyQualityofLife-Leisure;  DermatologyQualityofLife-WorkandSchool;  Dermatology Quality of Life - Personal Relationships;  DermatologyQualityofLife-Treatment;  TotalDermatologyLifeQualityIndex(DLQI)Score;  DermatologyLifeQualityIndex(DLQI)Categories|34|NCT00852761|March 2009
1699|Terminated                  Has Results|Validation of Brain Oxygenation Monitor on Pediatric Patients||Device:CASNIRSFORE-SIGHToximeter|Interventional||Other / Industry|Accuracy of NIRS Sensor to Estimate Flank Tissue Oxygen Saturation;  Accuracy of NIRS Sensor to Estimate Intestine Tissue Oxygen Saturation;  Accuracy of NIRS Sensor to Estimate Hepatic Tissue Oxygen Saturation;  Correlation Between Somatic StO2 and Cerebral SctO2 Oxygen Saturation;  Correlation Between NIRS Derived Estimate of Hemoglobin Concentration and Measured Arterial Blood Hemoglobin Concentration.|72|NCT00849940|February 2009
1700|Terminated|Nonmyeloablative Allo Stem Cell Transplant for Severe Autoimmune Diseases||Procedure: Nonmyeloablative allogeneic stem cell transplant|Interventional|Phase 1|Other|Engraftment;  GraftversusHostDisease;  Toxicity;  Mortality;  ResponseRate;  ImmuneFunctionPost-engraftment;  ProgressionFreeSurvival;  OverallSurvival|4|NCT00849745|January 2003
1701|Completed|Phase I Trial of Inhaled Nitric Oxide to Treat Acute Pulmonary Embolism||Drug:nitricoxide|Interventional|Phase 1|Other|Borgscore;  vitalsigns|25|NCT00848731|February 2009
1702|Completed|Compatibility of a Mild Moisturizing Hand Cleanser for Patients With Mild to Moderate Hand Dermatitis||Other:mildmoisturizinghandcleanser|Interventional||Other|Efficacy of mild moisturizing hand cleaner for improvement of hand dermatitis from frequent hand washing|46|NCT00843466|May 2007
1703|Completed|Bronchoscopy Assisted Sampling of Cells and Fluid From the Lower Respiratory Tract of Human Subjects|||Observational||Other|The goal of this project is to define the effect of smoking on key aspects of airway biology. These studies will also provide crucial &amp; novel definition of airway biology in smokers against which COPD &amp; CF patients will be compared.|30|NCT00840723|February 2009
1704|Active not recruiting|Genetic Susceptibility TO Ozone-induced Airway Inflammation in Humans||Other:ozone|Interventional||Other / U.S. Fed / NIH|Airwayneutrophilicresponsetoozoneexposure;  expression of specific genes of interest in a subset of ozone-responsive and ozone-non-responsive subjects|200|NCT00840528|February 2002
1705|Completed|Effect Of Obesity On Ozone-Induced Airway Inflammation||Other:ozone0.4ppm|Interventional||Other / NIH / U.S. Fed|Methacholinereactivity(primaryendpoint);  Breathingandlungfunctionvariables;  inducedsputummarkers|40|NCT00839943|May 2006
1706|Completed|Effect of a 10000 EU Dose of Endotoxin in Allergic and Mildly Asthmatic Adults||Biological: Clinical Center Reference Endotoxin (CCRE)|Interventional|Phase 1|Other / NIH|Magnitude of change in neutrophil content of induced sputum after inhalation of 10000 EU CCRE;  change in PFT&apos;s vital signs and symptom score after inhalation of 10000 EU of CCRE|11|NCT00839189|October 2002
1707|Completed|A Study of Inhalation of 20000 EU CCRE in Normal Volunteers Compared to Allergic Asthmatic Individuals||Biological: Clinical Center Reference Endotoxin (CCRE)|Interventional|Phase 1|Other / NIH|The primary objective of this study is to test the hypothesis that persons with allergic asthma will have an increased neutrophil response to challenge with 20000 EU CCRE compared to normal volunteers;  Secondary objectives include post CCRE comparison between AA&apos;s and NV&apos;s with regard to changes in airway cells and blood as well as changes in mucociliary clearance (MCC) in response to inhalation of 20000 EU CCRE.|32|NCT00839124|January 2009
1708|Terminated|Response of Airway Cells to 20000 EU of Endotoxin in Normal Adults||Biological: Clinical Center Reference Endotoxin (CCRE)|Interventional|Phase 1|Other / NIH|Neutrophil response (influx of PMNs to the airways as determined in sputum) after inhalation of CCRE (20000 EU);  changesinPFT&apos;sandvitalsigns|26|NCT00838851|August 2003
